Series;Product Image;Description;Mounting;Trimmer Type;Resistance Min.(Ω);Resistance Max.(Ω);Image path;Datasheet part;3d model part
14S, 17S, 18S;Enlarge;"Multi-Turn 1/4"" (6.35 mm) Square Wirewound Trimmers";Through-hole;Multi turn;10;5 K;image/trimmers/68017.png;Datasheet/trimmers/14S, 17S, 18S/14S, 17S, 18S.pdf;None
43;Enlarge;"3/4"" Rectangular (19 mm) Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;5 M;image/trimmers/57026.png;Datasheet/trimmers/43/43.pdf;Datasheet/trimmers/43/43.zip
63;Enlarge;"3/8"" Square (10 mm) Single-Turn Cermet Trimmer";Through-hole;Single turn;100;2 M;image/trimmers/57027.png;Datasheet/trimmers/63/63.pdf;Datasheet/trimmers/63/63.zip
64;Enlarge;"3/8"" Square (10 mm) Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/57028.png;Datasheet/trimmers/64/64.pdf;Datasheet/trimmers/64/64.zip
70;Enlarge;"1 1/4"" Rectangular Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;2 M;image/trimmers/57076.png;Datasheet/trimmers/70/70.pdf;None
117S;Enlarge;"Multi-Turn 3/8"" (9.52 mm) Square Wirewound Trimmers";Through-hole;Multi turn;10;10 K;image/trimmers/68016.png;Datasheet/trimmers/117S/117S.pdf;None
P8P;Enlarge;8.5 mm Diameter Single-Turn Fully Sealed Container Cermet Trimmer;Through-hole;Single turn;10;2.2 M;image/trimmers/51019.png;Datasheet/trimmers/P8P/P8P.pdf;None
P8S;Enlarge;8.5 mm Diameter Single-Turn Fully Sealed Container Cermet Trimmer;Through-hole;Single turn;10;2.2 M;image/trimmers/51020.png;Datasheet/trimmers/P8S/P8S.pdf;None
T11;Enlarge;12.5 mm Square Modular Single-Turn Cermet Trimmer;Through-hole;Single turn;22;4.7 M;image/trimmers/51021.png;Datasheet/trimmers/T11/T11.pdf;None
T12, T13;Enlarge;Fully Sealed Container 12 mm Square or Round Single-Turn Cermet Trimmer;Through-hole;Single turn;22;10 M;image/trimmers/51022.png;Datasheet/trimmers/T12, T13/T12, T13.pdf;None
T18;Enlarge;"3/4"" Rectangular Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;5 M;image/trimmers/51027.png;Datasheet/trimmers/T18/T18.pdf;Datasheet/trimmers/T18/T18.zip
T53;Enlarge;5 mm Through Hole Trimmer Single-Turn Cermet;Through-hole;Single turn;10;1 M;image/trimmers/51014.png;Datasheet/trimmers/T53/T53.pdf;None
T6;Enlarge;"1/4"" Multi-Turn Fully Sealed Container Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51023.png;Datasheet/trimmers/T6/T6.pdf;None
T63;Enlarge;"1/4"" Multi-Turn Fully Sealed Container Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51024.png;Datasheet/trimmers/T63/T63.pdf;None
T7;Enlarge;7 mm Diameter Miniature Single-Turn Cermet Trimmer;Through-hole;Single turn;10;2.2 M;image/trimmers/51015.png;Datasheet/trimmers/T7/T7.pdf;Datasheet/trimmers/T7/T7.zip
T73;Enlarge;"1/4"" Square Single-Turn Cermet Sealed Trimmer";Through-hole;Single turn;10;2 M;image/trimmers/51016.png;Datasheet/trimmers/T73/T73.pdf;Datasheet/trimmers/T73/T73.zip
T9;Enlarge;"3/8"" Square Multi-Turn Fully Sealed Container Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51025.png;Datasheet/trimmers/T9/T9.pdf;Datasheet/trimmers/T9/T9.zip
T93;Enlarge;"3/8"" Square Multi-Turn Cermet Trimmer";Through-hole;Multi turn;10;2.2 M;image/trimmers/51026.png;Datasheet/trimmers/T93/T93.pdf;Datasheet/trimmers/T93/T93.zip
TS3;Enlarge;3 mm Square Surface Mount Miniature Trimmer Single-Turn Cermet Sealed;Surface-mount;Single turn;10;2 M;image/trimmers/51041.png;Datasheet/trimmers/TS3/TS3.pdf;Datasheet/trimmers/TS3/TS3.zip
TS4;Enlarge;Cermet Trimmers, Surface Mount, 4.0 mm Square, Single Turn, Industrial Grade;Surface-mount;Single turn;10;2 M;image/trimmers/51053.png;Datasheet/trimmers/TS4/TS4.pdf;Datasheet/trimmers/TS4/TS4.zip
TS5;Enlarge;5 mm Square Surface Mount Miniature Trimmers Single-Turn Cermet Fully Sealed;Surface-mount;Single turn;10;1 M;image/trimmers/51007.png;Datasheet/trimmers/TS5/TS5.pdf;Datasheet/trimmers/TS5/TS5.zip
TS53;Enlarge;5 mm Square Surface Mount Miniature Trimmers Single-Turn Cermet Sealed;Surface-mount;Single turn;10;1 M;image/trimmers/51008.png;Datasheet/trimmers/TS53/TS53.pdf;Datasheet/trimmers/TS53/TS53.zip
TS6;Enlarge;"Multi-Turn Surface Mount 1/4"" Square Cermet Trimmers, Fully Sealed";Surface-mount;Multi turn;10;2 M;image/trimmers/51010.png;Datasheet/trimmers/TS6/TS6.pdf;None
TS63;Enlarge;"Multi-Turn Surface Mount 1/4"" Square Cermet Trimmers, Fully Sealed";Surface-mount;Multi turn;10;2 M;image/trimmers/51011.png;Datasheet/trimmers/TS63/TS63.pdf;Datasheet/trimmers/TS63/TS63.zip
TSM4;Enlarge;5 mm Square Surface Mount Miniature Trimmers Multi-Turn Cermet Sealed;Surface-mount;Multi turn;10;1 M;image/trimmers/51009.png;Datasheet/trimmers/TSM4/TSM4.pdf;Datasheet/trimmers/TSM4/TSM4.zip
