Series;Product Image;Description;AC Operating Voltage Min.(VRMS);AC Operating Voltage Max.(VRMS);DC Operating Voltage Min.(VDC);DC Operating Voltage Max.(VDC);INRP8/20 µsMax.(Ap);Energy 10/1000 µsMax.(J);Operating Temperature Min.(°C);Operating Temperature Max.(°C);Image path;Datasheet part;3d model part
MLV0402E3;Enlarge;SMD 0402 Multilayer Varistor;4;14;5.6;18;20;0.05;-55;125;image/varistors/29107.png;Datasheet/varistors/MLV0402E3/MLV0402E3.pdf;Datasheet/varistors/MLV0402E3/MLV0402E3.zip
MLV0603E3;Enlarge;SMD 0603 Multilayer Varistor;4;25;5.6;30;30;0.1;-55;125;image/varistors/29108.png;Datasheet/varistors/MLV0603E3/MLV0603E3.pdf;Datasheet/varistors/MLV0603E3/MLV0603E3.zip
MLV0805E3;Enlarge;SMD 0805 Multilayer Varistor;4;30;5.6;38;100;0.3;-55;125;image/varistors/29109.png;Datasheet/varistors/MLV0805E3/MLV0805E3.pdf;Datasheet/varistors/MLV0805E3/MLV0805E3.zip
MLV1206E3;Enlarge;SMD 1206 Multilayer Varistor;4;45;5.6;65;200;1.1;-55;85;image/varistors/29126.png;Datasheet/varistors/MLV1206E3/MLV1206E3.pdf;Datasheet/varistors/MLV1206E3/MLV1206E3.zip
MLV1210E3;Enlarge;SMD 1210 Multilayer Varistor;4;35;5.6;45;400;2.2;-55;85;image/varistors/29127.png;Datasheet/varistors/MLV1210E3/MLV1210E3.pdf;Datasheet/varistors/MLV1210E3/MLV1210E3.zip
MLV1812E3;Enlarge;SMD 1812 Multilayer Varistor;14;30;18;38;800;4.2;-55;85;image/varistors/29128.png;Datasheet/varistors/MLV1812E3/MLV1812E3.pdf;Datasheet/varistors/MLV1812E3/MLV1812E3.zip
MLV2220E3;Enlarge;SMD 2220 Multilayer Varistor;4;60;5.6;85;1200;12;-55;85;image/varistors/29129.png;Datasheet/varistors/MLV2220E3/MLV2220E3.pdf;Datasheet/varistors/MLV2220E3/MLV2220E3.zip
VDRH Series;Enlarge;VDR Metal Oxide Varistors High Surge;11;680;14;895;10 000;620;-40;125;image/varistors/29082.png;Datasheet/varistors/VDRH Series/VDRH Series.pdf;Datasheet/varistors/VDRH Series/VDRH Series.zip
VDRS Series;Enlarge;VDR Metal Oxide Varistors Standard;14;680;18;895;6500;496;-40;85;image/varistors/29081.png;Datasheet/varistors/VDRS Series/VDRS Series.pdf;Datasheet/varistors/VDRS Series/VDRS Series.zip
VDRUS Series;Enlarge;VDR Metal Oxide Varistors Ultra Surge High Operating Temperature 125 °C;115;680;150;895;13 000;720;-40;125;image/varistors/29185.png;Datasheet/varistors/VDRUS Series/VDRUS Series.pdf;Datasheet/varistors/VDRUS Series/VDRUS Series.zip
